Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
DarPaso,Caminar,Pausa,Neutral,0.0,840.201,197.24,0.869799,882.765,217.76,0.8525209999999999,822.5880000000001,197.205,0.759115,835.829,266.20599999999996,0.324141,834.336,313.184,0.330507,941.493,241.25599999999997,0.708533,969.418,323.46,0.855825,898.9689999999999,364.57599999999996,0.818897,885.7230000000001,370.439,0.7015100000000001,850.5010000000001,366.04400000000004,0.65984,837.2860000000001,470.284,0.829744,925.3430000000001,376.3,0.682421,948.8330000000001,470.28,0.686767
DarPaso,Caminar,Pausa,Neutral,0.0,835.798,204.54,0.880559,878.3939999999999,223.65900000000002,0.80566,818.222,201.608,0.74278,837.2860000000001,288.226,0.226784,840.217,357.226,0.21486100000000002,932.703,245.679,0.7144229999999999,964.993,330.788,0.7937850000000001,891.6060000000001,371.892,0.7961090000000001,882.802,377.776,0.70005,849.0110000000001,371.914,0.627386,832.8660000000001,473.211,0.8454889999999999,920.938,383.64300000000003,0.66605,948.828,473.218,0.7341489999999999
DarPaso,Caminar,Pausa,Neutral,0.0,827.0269999999999,210.415,0.826691,875.438,229.535,0.7923399999999999,816.712,206.00799999999998,0.642525,837.28,294.11,0.22599899999999998,832.855,361.62699999999995,0.269017,928.2869999999999,254.468,0.6827439999999999,957.669,339.594,0.8366610000000001,882.802,380.731,0.795967,881.332,383.664,0.705832,846.0930000000001,377.78,0.615838,828.488,476.156,0.843308,916.555,389.50199999999995,0.6859069999999999,948.8389999999999,477.616,0.733725
DarPaso,Caminar,Pausa,Neutral,0.0,821.1360000000001,216.326,0.8522719999999999,872.495,239.764,0.743003,815.242,214.81900000000002,0.5075390000000001,834.37,295.577,0.112673,824.049,360.181,0.110864,923.8860000000001,263.26599999999996,0.682204,953.247,346.96,0.818714,875.466,388.08099999999996,0.823943,878.382,389.542,0.703526,841.673,385.125,0.625778,828.457,482.029,0.830888,913.59,392.48,0.682508,947.3989999999999,483.454,0.727146
DarPaso,Caminar,Pausa,Neutral,0.0,812.3330000000001,222.16,0.835944,866.643,244.185,0.740254,826.995,226.583,0.393002,834.334,308.789,0.09181489999999999,826.992,363.098,0.0700155,913.6360000000001,266.226,0.673679,945.8939999999999,357.218,0.845368,865.182,393.949,0.815767,873.987,392.47900000000004,0.639798,838.745,389.541,0.619,831.3910000000001,487.87699999999995,0.78225,909.2080000000001,398.33,0.637933,944.436,484.936,0.718896
DarPaso,Caminar,Pausa,Neutral,0.0,803.485,228.049,0.8480559999999999,860.745,250.06400000000002,0.7567699999999999,815.247,228.06099999999998,0.39953099999999997,0.0,0.0,0.0,0.0,0.0,0.0,906.2810000000001,275.025,0.692238,932.683,368.944,0.820384,853.442,405.655,0.851232,871.055,404.21,0.663325,837.2769999999999,401.274,0.642653,829.922,498.148,0.769063,906.26,405.68199999999996,0.654465,944.4119999999999,487.88,0.7268939999999999
DarPaso,Caminar,Pausa,Neutral,0.0,793.247,232.468,0.8281629999999999,854.9119999999999,257.4,0.705617,816.716,239.782,0.416159,818.204,320.539,0.219417,812.334,389.527,0.21438000000000001,898.9069999999999,282.367,0.671254,920.967,376.333,0.782413,841.686,415.913,0.831249,868.084,404.225,0.662406,837.248,402.728,0.6452359999999999,822.6080000000001,499.662,0.762297,898.953,407.135,0.658582,940.029,490.82199999999995,0.646849
DarPaso,Caminar,Pausa,Neutral,0.0,782.9680000000001,239.75900000000001,0.802218,844.6189999999999,261.828,0.710194,806.448,238.31900000000002,0.395181,0.0,0.0,0.0,0.0,0.0,0.0,887.173,291.184,0.675296,909.187,392.48199999999997,0.7889970000000001,829.9119999999999,427.663,0.857044,862.206,408.615,0.6759649999999999,831.3989999999999,405.69,0.6364350000000001,816.715,502.577,0.797363,893.059,411.54400000000004,0.623494,931.247,490.815,0.6657390000000001
DarPaso,Caminar,Pausa,Neutral,0.0,772.707,247.114,0.8568209999999999,837.255,267.664,0.7325149999999999,804.966,235.385,0.40133,0.0,0.0,0.0,0.0,0.0,0.0,878.3660000000001,298.517,0.668983,897.435,405.673,0.8221129999999999,815.258,436.523,0.890893,854.8739999999999,410.07099999999997,0.625943,825.51,405.67800000000005,0.561998,813.76,502.55800000000005,0.760731,884.237,414.467,0.612053,922.447,498.14300000000003,0.705018
DarPaso,Caminar,Pausa,Neutral,0.0,762.3889999999999,250.07,0.857101,829.932,272.085,0.685383,797.6460000000001,241.25099999999998,0.402401,0.0,0.0,0.0,0.0,0.0,0.0,865.1489999999999,305.856,0.65054,882.758,408.60699999999997,0.808062,802.013,445.30199999999996,0.819708,847.5419999999999,417.42900000000003,0.602629,815.268,413.023,0.591952,807.916,512.842,0.744699,878.3660000000001,423.293,0.586374,915.081,501.099,0.746237
