Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,721.2919999999999,462.939,0.541315,737.455,445.31800000000004,0.493543,755.048,530.4580000000001,0.615001,708.0989999999999,483.485,0.533725,734.5239999999999,580.377,0.685743
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,716.878,468.81199999999995,0.536724,731.58,452.658,0.46147200000000005,749.199,531.924,0.64005,705.1469999999999,484.962,0.535914,730.122,580.373,0.678353
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,712.485,471.731,0.542668,725.698,454.121,0.47728999999999994,740.39,531.908,0.6538609999999999,700.7610000000001,486.43199999999996,0.536616,728.625,580.37,0.6541020000000001
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,708.092,477.606,0.527511,721.312,459.994,0.46628500000000006,730.0930000000001,531.943,0.610217,696.357,490.825,0.505807,724.2660000000001,578.903,0.630214
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,705.155,479.06699999999995,0.516211,719.821,464.38699999999994,0.444434,721.289,533.403,0.637699,696.334,492.288,0.49643000000000004,722.745,580.393,0.656899
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,700.75,477.602,0.494413,715.429,462.93300000000005,0.418609,715.42,536.318,0.606913,694.878,487.881,0.478538,715.447,575.97,0.602345
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,696.346,482.024,0.487997,712.488,470.28,0.400964,712.487,542.191,0.585646,693.393,496.69699999999995,0.457322,715.439,578.9069999999999,0.623142
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,693.414,484.93699999999995,0.551764,706.622,473.209,0.43931400000000004,712.485,545.1569999999999,0.604866,688.998,498.151,0.507486,713.95,580.387,0.643883
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,690.4739999999999,484.95599999999996,0.520202,702.206,476.142,0.4015,709.543,548.076,0.624467,686.055,498.163,0.47961800000000004,712.4830000000001,580.389,0.6426470000000001
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,684.61,486.414,0.512949,696.342,479.08,0.40675900000000004,708.107,550.995,0.618924,680.186,498.164,0.50602,718.363,589.174,0.641524
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,674.328,492.288,0.43216499999999997,684.5939999999999,483.472,0.29149200000000003,705.1469999999999,577.42,0.23490300000000003,677.252,502.56699999999995,0.489417,721.27,592.09,0.648864
