Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,465.861,477.611,436.51800000000003,496.694,496.675,593.594,498.15,458.538,534.872,567.146
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,467.32199999999995,482.01599999999996,437.955,499.647,499.61800000000005,599.461,499.603,462.94300000000004,536.325,575.961
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,467.32599999999996,484.941,437.958,502.565,499.656,602.385,499.605,467.319,537.799,577.439
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,467.314,486.42800000000005,437.95099999999996,505.49199999999996,501.11300000000006,605.337,499.606,470.267,537.793,580.378
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,465.848,487.87800000000004,436.49,506.963,502.56,608.26,498.161,471.72900000000004,537.795,581.844
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,464.38,490.82300000000004,435.025,509.905,501.126,608.253,496.7,474.658,536.317,580.394
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,461.46,496.69800000000004,430.645,512.846,501.092,611.214,492.288,477.615,534.88,583.312
Sentarse,Descansar,Pausa,Neutral,0.0,455.61199999999997,495.221,426.225,512.8330000000001,499.6,614.1519999999999,487.865,476.142,534.8380000000001,583.325
Sentarse,Descansar,Pausa,Neutral,0.0,452.651,490.82199999999995,420.351,508.44699999999995,487.91,609.7330000000001,484.94,474.662,531.948,578.895
Sentarse,Descansar,Pausa,Neutral,0.0,452.63199999999995,499.61199999999997,418.909,515.762,483.5,614.132,483.464,480.556,531.898,575.981
Sentarse,Descansar,Pausa,Neutral,0.0,446.773,499.644,414.496,517.232,473.19599999999997,612.67,477.619,483.468,530.462,573.02
Sentarse,Descansar,Pausa,Neutral,0.0,442.36199999999997,501.12300000000005,411.55400000000003,520.174,470.272,617.0740000000001,474.68199999999996,486.403,530.461,573.0269999999999
Sentarse,Descansar,Pausa,Neutral,0.0,437.986,508.42699999999996,407.12300000000005,527.518,470.27099999999996,624.406,471.724,490.81,530.452,577.435
Sentarse,Descansar,Pausa,Neutral,0.0,436.509,515.7719999999999,405.653,533.388,465.848,627.3340000000001,468.80400000000003,499.63,530.446,577.444
Sentarse,Descansar,Pausa,Neutral,0.0,433.55199999999996,521.654,402.746,539.269,461.45099999999996,630.29,464.411,504.026,530.441,577.452
Sentarse,Descansar,Pausa,Neutral,0.0,429.17699999999996,526.06,398.344,546.586,461.449,639.077,461.45599999999996,509.9,530.445,578.873
Sentarse,Descansar,Pausa,Neutral,0.0,421.83,531.9069999999999,390.975,549.53,454.126,637.624,454.12199999999996,514.315,529.002,580.357
Sentarse,Descansar,Pausa,Neutral,0.0,410.094,537.8,382.18199999999996,558.342,455.6,637.619,443.846,521.643,526.0409999999999,577.4119999999999
Sentarse,Descansar,Pausa,Neutral,0.0,405.656,545.12,374.834,564.2330000000001,458.536,636.158,436.5,524.58,521.65,575.987
Sentarse,Descansar,Pausa,Neutral,0.0,401.275,548.057,368.991,568.613,452.668,634.6990000000001,432.09,530.469,515.79,577.413
Sentarse,Descansar,Pausa,Neutral,0.0,402.73699999999997,552.471,371.92900000000003,574.485,455.583,639.099,430.64099999999996,534.8480000000001,512.845,574.514
Sentarse,Descansar,Pausa,Neutral,0.0,399.79699999999997,559.8290000000001,370.457,580.398,454.14099999999996,643.501,427.70599999999996,545.127,511.401,575.947
Sentarse,Descansar,Pausa,Neutral,0.0,396.86699999999996,568.625,370.43300000000005,590.651,454.135,646.425,427.69300000000004,550.992,509.91900000000004,574.486
Sentarse,Descansar,Pausa,Neutral,0.0,398.325,578.909,371.921,599.457,458.54,647.89,424.76199999999994,561.273,505.51,571.575
Sentarse,Descansar,Pausa,Neutral,0.0,390.995,587.72,363.11699999999996,609.738,458.538,642.025,418.901,568.628,506.98199999999997,571.564
Sentarse,Descansar,Pausa,Neutral,0.0,385.125,603.857,355.76099999999997,625.884,457.06800000000004,647.891,414.49,581.8430000000001,508.43800000000005,575.953
Sentarse,Descansar,Pausa,Neutral,0.0,377.782,620.005,346.974,637.622,402.74,734.512,407.159,600.906,512.842,578.876
Sentarse,Descansar,Pausa,Neutral,0.0,382.176,614.136,351.37,637.611,408.61,727.175,408.601,596.505,517.24,580.378
Sentarse,Descansar,Pausa,Neutral,0.0,371.92800000000005,624.418,345.48400000000004,643.51,398.333,728.637,404.207,600.937,515.7909999999999,584.7669999999999
Sentarse,Descansar,Pausa,Neutral,0.0,364.585,628.826,339.61400000000003,647.908,0.0,0.0,393.93,612.66,511.36800000000005,596.516
Sentarse,Descansar,Pausa,Neutral,0.0,373.389,624.425,344.024,649.382,407.139,733.049,405.662,599.467,509.913,597.979
Sentarse,Descansar,Pausa,Neutral,0.0,370.44199999999995,627.341,342.55300000000005,653.781,408.62,724.2389999999999,399.798,600.931,504.045,600.927
